name,href
Fernando Alonso,/frasi-di/fernando-alonso/
Moises Alou,/frasi-di/moises-alou/
Lynne Alpern,/frasi-di/lynne-alpern/
Kenneth Alsop,/frasi-di/kenneth-alsop/
Francesco Tullio Altan,/frasi-di/francesco-tullio-altan/
Peter Altenberg,/frasi-di/peter-altenberg/
Lisa Alther,/frasi-di/lisa-alther/
Renato Altissimo,/frasi-di/renato-altissimo/
Jeff Altman,/frasi-di/jeff-altman/
Robert Bernard Altman,/frasi-di/robert-altman/
Al Alvarez,/frasi-di/al-alvarez/
Alejandro Alvarez,/frasi-di/alejandro-alvarez/
Corrado Alvaro,/frasi-di/corrado-alvaro/
Luca Alvino,/frasi-di/luca-alvino/
Alessandro Alvisi,/frasi-di/alessandro-alvisi/
Alyssa Milano,/frasi-di/alyssa-milano/
Mirko Amadeo,/frasi-di/mirko-amadeo/
Amadeus,/frasi-di/amadeus/
Jorge Amado,/frasi-di/jorge-amado/
Amal Clooney,/frasi-di/amal-clooney/
Davide Amante,/frasi-di/davide-amante/
Giuliano Amato,/frasi-di/giuliano-amato/
John Amatt,/frasi-di/john-amatt/
Amber Heard,/frasi-di/amber-heard/
Eric Ambler,/frasi-di/eric-ambler/
Silvano Ambrogi,/frasi-di/silvano-ambrogi/
Saint Ambrose,/frasi-di/aurelio-ambrogio/
Alejandro Amenábar,/frasi-di/alejandro-amenabar/
Claudio Amendola,/frasi-di/claudio-amendola/
Gianfranco Amendola,/frasi-di/gianfranco-amendola/
Romano Amerio,/frasi-di/romano-amerio/
Henri Frederic Amiel,/frasi-di/henri-frederic-amiel/
Augusta  Amiel-Lapeyre,/frasi-di/augusta-amiel-lapeyre/
Chiara Amirante,/frasi-di/chiara-amirante/
Kingsley Amis,/frasi-di/kingsley-amis/
Martin Louis Amis,/frasi-di/martin-louis-amis/
Niccolò Ammaniti,/frasi-di/niccolo-ammaniti/
Ammianus Marcellinus,/frasi-di/ammiano-marcellino/
Elisa S. Amore,/frasi-di/elisa-s-amore/
Alessandra Amoroso,/frasi-di/alessandra-amoroso/
Padre Gabriele Amorth,/frasi-di/gabriele-amorth/
John Amos,/frasi-di/john-amos/
Wally Amos,/frasi-di/wally-amos/
Antonio Amurri,/frasi-di/antonio-amurri/
Lorenzo Amurri,/frasi-di/lorenzo-amurri/
Anacharsis,/frasi-di/anacarsi/
Anacreon,/frasi-di/anacreonte/
Anaxagoras,/frasi-di/anassagora/
Anastasio,/frasi-di/anastasio/
Elena Anaya,/frasi-di/elena-anaya/
Jacques Arsène François Ancelot,/frasi-di/jacques-arsene-francois-ancelot/
Günther Anders,/frasi-di/gunther-anders/
Hans Christian Andersen,/frasi-di/hans-christian-andersen/
Chris Anderson,/frasi-di/chris-anderson/
Dave Anderson,/frasi-di/dave-anderson/
Gillian Anderson,/frasi-di/gillian-anderson/
Harry Anderson,/frasi-di/harry-anderson/
Judith Anderson,/frasi-di/judith-anderson/
Kurt Anderson,/frasi-di/kurt-anderson/
Laurie Anderson,/frasi-di/laurie-anderson/
Lindsay Anderson,/frasi-di/lindsay-anderson/
Margaret Anderson,/frasi-di/margaret-anderson/
Maxwell Anderson,/frasi-di/maxwell-anderson/
Pamela Anderson,/frasi-di/pamela-anderson/
Paul Anderson,/frasi-di/paul-anderson/
Sherwood Anderson,/frasi-di/sherwood-anderson/
Stanley Anderson,/frasi-di/stanley-anderson/
Paul Thomas Anderson,/frasi-di/paul-thomas-anderson/
Paul W.S. Anderson ,/frasi-di/paul-ws-anderson/
Walter Inglis Anderson,/frasi-di/walter-inglis-anderson/
Wes Anderson,/frasi-di/wes-anderson/
Tatsuhiko Andoh,/frasi-di/tatsuhiko-andoh/
Jorge Carrera Andrade,/frasi-di/jorge-carrera-andrade/
John André,/frasi-di/john-andre/
Felice Andreasi,/frasi-di/felice-andreasi/
Brunella Andreoli,/frasi-di/brunella-andreoli/
Vittorino Andreoli,/frasi-di/vittorino-andreoli/
Giulio Andreotti,/frasi-di/giulio-andreotti/
Tuck Andress,/frasi-di/tuck-andress/
Mario Andretti,/frasi-di/mario-andretti/
Julie Andrews,/frasi-di/julie-andrews/
Mark Andrews,/frasi-di/mark-andrews/
Ivo Andric,/frasi-di/ivo-andric/
Sir Andy Murray,/frasi-di/andy-murray/
Alberto Angela,/frasi-di/alberto-angela/
Piero Angela,/frasi-di/piero-angela/
Marco Angelini,/frasi-di/marco-angelini/
Theo Angelopoulos,/frasi-di/theodoros-angelopoulos/
Maya Angelou,/frasi-di/maya-angelou/
Angelus Silesius,/frasi-di/angelus-silesius/
Angese,/frasi-di/sergio-angeletti/
Giordana Angi,/frasi-di/giordana-angi/
Angie Dickinson,/frasi-di/angie-dickinson/
Natalie Angier,/frasi-di/natalie-angier/
Cecco Angiolieri,/frasi-di/cecco-angiolieri/
Ambra Angiolini,/frasi-di/ambra-angiolini/
Laurent Angliviel de la Beaumelle,/frasi-di/laurent-angliviel-de-la-beaumelle/
Álex Angulo,/frasi-di/alex-angulo/
Antonio Aniante,/frasi-di/antonio-aniante/
Jennifer Aniston,/frasi-di/jennifer-aniston/
John Aniston,/frasi-di/john-aniston/
Queen Anne of Austria,/frasi-di/anna-daustria/
Annalisa,/frasi-di/annalisa/
Kofi Annan,/frasi-di/kofi-atta-annan/
Jean-Jacques Annaud,/frasi-di/jean-jacques-annaud/
Hannibal,/frasi-di/annibale/
Lucia Annunziata,/frasi-di/lucia-annunziata/
Anonymous,/frasi-di/anonimo/
Jean Anouilh,/frasi-di/jean-anouilh/
Anselmo d'Aosta,/frasi-di/anselmo-daosta/
Johan Anthierens,/frasi-di/johan-anthierens/
Robert Anthony,/frasi-di/robert-anthony/
Susan Brownell Anthony,/frasi-di/susan-brownell-anthony/
Antiphanes of Macedon,/frasi-di/antifane/
Antifonte,/frasi-di/antifonte/
Tom Antion,/frasi-di/tom-antion/
Antisthenes,/frasi-di/antistene/
Pavel Antokolsky,/frasi-di/pavel-antokolsky/
Giannino Antona Traversi,/frasi-di/giannino-antona-traversi/
Biagio Antonacci,/frasi-di/biagio-antonacci/
Antonella Anedda,/frasi-di/antonella-anedda/
Giuseppe Antonelli,/frasi-di/giuseppe-antonelli/
Tom Antongini,/frasi-di/tom-antongini/
Michelangelo Antonioni,/frasi-di/michelangelo-antonioni/
Minna Thomas Antrim,/frasi-di/minna-thomas-antrim/
Bruno Anzolin,/frasi-di/bruno-anzolin/
Judd Apatow,/frasi-di/judd-apatow/
Guillaume Apollinaire,/frasi-di/guillaume-apollinaire/
Apollonio,/frasi-di/apollonio/
Michele Apostolis,/frasi-di/michele-apostolio/
Aharon Appelfeld,/frasi-di/aharon-appelfeld/
Claudio Appiani,/frasi-di/claudio-appiani/
Appino,/frasi-di/appino/
Appius Claudius Caecus,/frasi-di/appio-claudio-cieco/
Shiri Appleby,/frasi-di/shiri-appleby/
Edward Victor Appleton,/frasi-di/edward-victor-appleton/
Pino Aprile,/frasi-di/pino-aprile/
Michael Apted,/frasi-di/michael-apted/
Apuleius,/frasi-di/lucio-apuleio/
Emilio Aragón,/frasi-di/emilio-aragon/
Louis Aragon,/frasi-di/louis-aragon/
Manuel Gutiérrez Aragón,/frasi-di/manuel-gutierrez-aragon/
Fernando Aramburu,/frasi-di/fernando-aramburu/
Tomas Arana,/frasi-di/tomas-arana/
János Arany,/frasi-di/janos-arany/
Alfonso Arau,/frasi-di/alfonso-arau/
Alberto Arbasino,/frasi-di/alberto-arbasino/
Antonio Arbio,/frasi-di/antonio-arbio/
Renzo Arbore,/frasi-di/renzo-arbore/
Diane Arbus,/frasi-di/diane-arbus/
Ralph Archbold,/frasi-di/ralph-archbold/
Bill Archer,/frasi-di/bill-archer/
Francesca Archibugi,/frasi-di/francesca-archibugi/
Archilochus,/frasi-di/archiloco/
Archimedes,/frasi-di/archimede/
Madame d'Arconville,/frasi-di/marie-charlotte-genevieve-darlus/
Fanny Ardant,/frasi-di/fanny-ardant/
Elizabeth Arden,/frasi-di/elizabeth-arden/
Pierre Arditi,/frasi-di/pierre-arditi/
Viola Ardone,/frasi-di/viola-ardone/
Carlos Areces,/frasi-di/carlos-areces/
Leonardo Vittorio Arena,/frasi-di/leonardo-vittorio-arena/
Concepción Arenal,/frasi-di/concepcion-arenal/
Gilbert Jay Arenas,/frasi-di/gilbert-jay-arenas/
Hannah Arendt,/frasi-di/hannah-arendt/
Pietro Aretino,/frasi-di/pietro-aretino/
Raúl Arévalo,/frasi-di/raul-arevalo/
Marco Argentario,/frasi-di/marco-argentario/
Luca Argentero,/frasi-di/luca-argentero/
Asia Argento,/frasi-di/asia-argento/
Dario Argento,/frasi-di/dario-argento/
Óscar Arias,/frasi-di/oscar-arias/
Ludovico Ariosto,/frasi-di/ludovico-ariosto/
Arisa,/frasi-di/arisa/
Saint Aristides,/frasi-di/aristide-marciano/
Aristippus,/frasi-di/aristippus/
Aristophanes,/frasi-di/aristophanes/
Aristotle,/frasi-di/aristotele/
Ricardo Arjona,/frasi-di/ricardo-arjona/
Alan Arkin,/frasi-di/alan-arkin/
Marcel Arland,/frasi-di/marcel-arland/
Michael Arlen,/frasi-di/michael-arlen/
Danilo Arlenghi,/frasi-di/danilo-arlenghi/
Arletty,/frasi-di/leonie-marie-julie-bathiat/
Egidio Arlotti,/frasi-di/egidio-arlotti/
Piovano Arlotto,/frasi-di/piovano-arlotto/
Giorgio Armani,/frasi-di/giorgio-armani/
Dick Armey,/frasi-di/dick-armey/
Franco Arminio,/frasi-di/franco-arminio/
Richard Armitage,/frasi-di/richard-armitage/
Billie Joe Armstrong,/frasi-di/billie-joe-armstrong/
Lance Armstrong,/frasi-di/lance-armstrong/
Louis Armstrong,/frasi-di/louis-armstrong/
Neil Armstrong,/frasi-di/neil-armstrong/
Antoine Arnauld,/frasi-di/antoine-arnauld/
Ernst Moritz Arndt,/frasi-di/moritz-ernst-arndt/
Eberhard Arnold,/frasi-di/eberhard-arnold/
George Arnold,/frasi-di/george-arnold/
Matthew Arnold,/frasi-di/matthew-arnold/
Thomas Arnold,/frasi-di/thomas-arnold/
Tom Arnold,/frasi-di/tom-arnold/
Vladimir Igorevic Arnold,/frasi-di/vladimir-igorevic-arnold/
Sophie Arnould,/frasi-di/sofia-arnould/
Raymond-Claude-Ferdinand Aron,/frasi-di/raymond-claude-ferdinand-aron/
Darren Aronofsky,/frasi-di/darren-aronofsky/
Bruno Arpaia,/frasi-di/bruno-arpaia/
Giovanni Arpino,/frasi-di/giovanni-arpino/
David Arquette,/frasi-di/david-arquette/
Patricia Arquette,/frasi-di/patricia-arquette/
Jean Lucien Arréat,/frasi-di/jean-lucien-arreat/
Juan José Arreola,/frasi-di/juan-jose-arreola/
Arrigo Benedetti,/frasi-di/arrigo-benedetti/
Kenneth Joseph Arrow,/frasi-di/kenneth-joseph-arrow/
Arsenio,/frasi-di/arsenio/
Antonin Artaud,/frasi-di/antonin-artaud/
Jean Nicolas Arthur Rimbaud,/frasi-di/jean-arthur-rimbaud/
Artù,/frasi-di/artu/
José Artur,/frasi-di/jose-artur/
Pellegrino Artusi,/frasi-di/pellegrino-artusi/
Sholem Asch,/frasi-di/sholem-asch/
Roger Ascham,/frasi-di/roger-ascham/
Neal Ascherson,/frasi-di/neal-ascherson/
Matilde Asensi,/frasi-di/matilde-asensi/
Mary Kay Ash,/frasi-di/mary-kay-ash/
John Ashbery,/frasi-di/john-ashbery/
William Ross Ashby,/frasi-di/william-ross-ashby/
Arthur Robert Ashe Jr.,/frasi-di/arthur-robert-ashe-jr/
Elizabeth Ashley,/frasi-di/elizabeth-ashley/
Ian Ashpitel,/frasi-di/ian-ashpitel/
Sylvia Constance Ashton-Warner,/frasi-di/sylvia-constance-ashton-warner/
Asia Bibi,/frasi-di/asia-bibi/
Isaac Asimov,/frasi-di/isaac-asimov/
Ed Asner,/frasi-di/ed-asner/
Natalia Aspesi,/frasi-di/natalia-aspesi/
Cyril Asquith,/frasi-di/cyril-asquith/
Herbert Henry Asquith,/frasi-di/herbert-henry-asquith/
Margot Asquith,/frasi-di/margot-asquith/
Roberto Assagioli,/frasi-di/roberto-assagioli/
Julian Assange,/frasi-di/julian-assange/
Fred Astaire,/frasi-di/fred-astaire/
Jamie Astaphan,/frasi-di/jamie-astaphan/
Sean Astin,/frasi-di/sean-astin/
Marie-Lyse Aston,/frasi-di/marie-lyse-aston/
John Jacob Astor IV,/frasi-di/john-jacob-astor-iv/
